name,hp,atk,def,spa,spd,spe,weight,height,types,abilities,formats,isNonstandard,oob
Magcargo,60,50,120,90,80,30,55,0.8,"['Fire', 'Rock']","['Magma Armor', 'Flame Body', 'Weak Armor']",['ZU'],Standard,"{'dex_number': 219, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Fearow,65,90,65,61,61,100,38,1.2,"['Normal', 'Flying']","['Keen Eye', 'Sniper']",['National Dex'],NatDex,"{'dex_number': 22, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Swinub,50,50,40,30,30,50,6.5,0.4,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",['LC'],Standard,"{'dex_number': 220, 'evos': ['Piloswine'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Piloswine,100,100,80,60,60,50,55.8,1.1,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",['ZU'],Standard,"{'dex_number': 221, 'evos': ['Mamoswine'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Corsola,65,55,95,65,95,35,5,0.6,"['Water', 'Rock']","['Hustle', 'Natural Cure', 'Regenerator']",['National Dex'],NatDex,"{'dex_number': 222, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Corsola-Galar,60,55,100,65,100,30,0.5,0.6,['Ghost'],"['Weak Armor', 'Cursed Body']",['National Dex'],NatDex,"{'dex_number': 222, 'evos': ['Cursola'], 'alts': [], 'genfamily': ['SS', 'SV']}"
Remoraid,35,65,35,65,35,65,12,0.6,['Water'],"['Hustle', 'Sniper', 'Moody']",['National Dex'],NatDex,"{'dex_number': 223, 'evos': ['Octillery'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Octillery,75,105,75,105,75,45,28.5,0.9,['Water'],"['Suction Cups', 'Sniper', 'Moody']",['National Dex'],NatDex,"{'dex_number': 224, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Delibird,45,55,45,65,45,75,16,0.9,"['Ice', 'Flying']","['Vital Spirit', 'Hustle', 'Insomnia']",['ZU'],Standard,"{'dex_number': 225, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Mantine,85,40,70,80,140,70,220,2.1,"['Water', 'Flying']","['Swift Swim', 'Water Absorb', 'Water Veil']",['National Dex'],NatDex,"{'dex_number': 226, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Skarmory,65,80,140,40,70,70,50.5,1.7,"['Steel', 'Flying']","['Keen Eye', 'Sturdy', 'Weak Armor']",['OU'],Standard,"{'dex_number': 227, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Houndour,45,60,30,80,50,65,10.8,0.6,"['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']",['LC'],Standard,"{'dex_number': 228, 'evos': ['Houndoom'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Houndoom,75,90,50,110,80,95,35,1.4,"['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']",['ZU'],Standard,"{'dex_number': 229, 'evos': [], 'alts': ['Houndoom-Mega'], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Ekans,35,60,44,40,54,55,6.9,2,['Poison'],"['Intimidate', 'Shed Skin', 'Unnerve']",['LC'],Standard,"{'dex_number': 23, 'evos': ['Arbok'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Kingdra,75,95,95,95,95,85,152,1.8,"['Water', 'Dragon']","['Swift Swim', 'Sniper', 'Damp']",['PU'],Standard,"{'dex_number': 230, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Phanpy,90,60,60,40,40,40,33.5,0.5,['Ground'],"['Pickup', 'Sand Veil']",['LC'],Standard,"{'dex_number': 231, 'evos': ['Donphan'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Donphan,90,120,120,60,60,50,120,1.1,['Ground'],"['Sturdy', 'Sand Veil']",['UU'],Standard,"{'dex_number': 232, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Porygon2,85,80,90,105,95,60,32.5,0.6,['Normal'],"['Trace', 'Download', 'Analytic']",['PU'],Standard,"{'dex_number': 233, 'evos': ['Porygon-Z'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Stantler,73,95,62,85,65,85,71.2,1.4,['Normal'],"['Intimidate', 'Frisk', 'Sap Sipper']",['NFE'],Standard,"{'dex_number': 234, 'evos': ['Wyrdeer'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Smeargle,55,20,35,20,45,75,58,1.2,['Normal'],"['Own Tempo', 'Technician', 'Moody']",['PU'],Standard,"{'dex_number': 235, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Tyrogue,35,35,35,35,35,35,21,0.7,['Fighting'],"['Guts', 'Steadfast', 'Vital Spirit']",['LC'],Standard,"{'dex_number': 236, 'evos': ['Hitmonchan', 'Hitmonlee', 'Hitmontop'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Hitmontop,50,95,95,35,110,70,48,1.4,['Fighting'],"['Intimidate', 'Technician', 'Steadfast']",['PU'],Standard,"{'dex_number': 237, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Smoochum,45,30,15,85,65,65,6,0.4,"['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Hydration']",['National Dex'],NatDex,"{'dex_number': 238, 'evos': ['Jynx'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Elekid,45,63,37,65,55,95,23.5,0.6,['Electric'],"['Static', 'Vital Spirit']",['LC'],Standard,"{'dex_number': 239, 'evos': ['Electabuzz'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Arbok,60,95,69,65,79,80,65,3.5,['Poison'],"['Intimidate', 'Shed Skin', 'Unnerve']",['ZU'],Standard,"{'dex_number': 24, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Magby,45,75,37,70,55,83,21.4,0.7,['Fire'],"['Flame Body', 'Vital Spirit']",['LC'],Standard,"{'dex_number': 240, 'evos': ['Magmar'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Miltank,95,80,105,40,70,100,75.5,1.2,['Normal'],"['Thick Fat', 'Scrappy', 'Sap Sipper']",['National Dex'],NatDex,"{'dex_number': 241, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Blissey,255,10,10,75,135,55,46.8,1.5,['Normal'],"['Natural Cure', 'Serene Grace', 'Healer']",['OU'],Standard,"{'dex_number': 242, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Raikou,90,85,75,115,100,115,178,1.9,['Electric'],"['Pressure', 'Inner Focus']",['NU'],Standard,"{'dex_number': 243, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Entei,115,115,85,90,75,100,198,2.1,['Fire'],"['Pressure', 'Inner Focus']",['RU'],Standard,"{'dex_number': 244, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Suicune,100,75,115,90,115,85,187,2,['Water'],"['Pressure', 'Inner Focus']",['NUBL'],Standard,"{'dex_number': 245, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Larvitar,50,64,50,45,50,41,72,0.6,"['Rock', 'Ground']","['Guts', 'Sand Veil']",['LC'],Standard,"{'dex_number': 246, 'evos': ['Pupitar'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Pupitar,70,84,70,65,70,51,152,1.2,"['Rock', 'Ground']",['Shed Skin'],['NFE'],Standard,"{'dex_number': 247, 'evos': ['Tyranitar'], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Tyranitar,100,134,110,95,100,61,202,2,"['Rock', 'Dark']","['Sand Stream', 'Unnerve']",['UU'],Standard,"{'dex_number': 248, 'evos': [], 'alts': ['Tyranitar-Mega'], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Lugia,106,90,130,90,154,110,216,5.2,"['Psychic', 'Flying']","['Pressure', 'Multiscale']",['Uber'],Standard,"{'dex_number': 249, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Pikachu,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': ['Raichu', 'Raichu-Alola'], 'alts': ['Pikachu-Gmax'], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Pikachu-Alola,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Hoenn,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Kalos,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Original,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Partner,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Sinnoh,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Starter,45,80,50,75,60,120,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['National Dex'],NatDex,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-Unova,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Pikachu-World,35,55,40,50,50,90,6,0.4,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 25, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Ho-Oh,106,130,90,110,154,90,199,3.8,"['Fire', 'Flying']","['Pressure', 'Regenerator']",['Uber'],Standard,"{'dex_number': 250, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Celebi,100,100,100,100,100,100,5,0.6,"['Psychic', 'Grass']",['Natural Cure'],['National Dex'],NatDex,"{'dex_number': 251, 'evos': [], 'alts': [], 'genfamily': ['GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Treecko,40,45,35,65,55,70,5,0.5,['Grass'],"['Overgrow', 'Unburden']",['LC'],Standard,"{'dex_number': 252, 'evos': ['Grovyle'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Grovyle,50,65,45,85,65,95,21.6,0.9,['Grass'],"['Overgrow', 'Unburden']",['NFE'],Standard,"{'dex_number': 253, 'evos': ['Sceptile'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Sceptile,70,85,65,105,85,120,52.2,1.7,['Grass'],"['Overgrow', 'Unburden']",['PU'],Standard,"{'dex_number': 254, 'evos': [], 'alts': ['Sceptile-Mega'], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Torchic,45,60,40,70,50,45,2.5,0.4,['Fire'],"['Blaze', 'Speed Boost']",['LC'],Standard,"{'dex_number': 255, 'evos': ['Combusken'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Combusken,60,85,60,85,60,55,19.5,0.9,"['Fire', 'Fighting']","['Blaze', 'Speed Boost']",['ZU'],Standard,"{'dex_number': 256, 'evos': ['Blaziken'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Blaziken,80,120,70,110,70,80,52,1.9,"['Fire', 'Fighting']","['Blaze', 'Speed Boost']",['UUBL'],Standard,"{'dex_number': 257, 'evos': [], 'alts': ['Blaziken-Mega'], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Mudkip,50,70,50,50,50,40,7.6,0.4,['Water'],"['Torrent', 'Damp']",['LC'],Standard,"{'dex_number': 258, 'evos': ['Marshtomp'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Marshtomp,70,85,70,60,70,50,28,0.7,"['Water', 'Ground']","['Torrent', 'Damp']",['NFE'],Standard,"{'dex_number': 259, 'evos': ['Swampert'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Raichu,60,90,55,90,80,110,30,0.8,['Electric'],"['Static', 'Lightning Rod']",['ZU'],Standard,"{'dex_number': 26, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Raichu-Alola,60,85,50,95,85,110,21,0.7,"['Electric', 'Psychic']",['Surge Surfer'],['ZU'],Standard,"{'dex_number': 26, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Swampert,100,110,90,85,90,60,81.9,1.5,"['Water', 'Ground']","['Torrent', 'Damp']",['NU'],Standard,"{'dex_number': 260, 'evos': [], 'alts': ['Swampert-Mega'], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Poochyena,35,55,35,30,30,35,13.6,0.5,['Dark'],"['Run Away', 'Quick Feet', 'Rattled']",['LC'],Standard,"{'dex_number': 261, 'evos': ['Mightyena'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Mightyena,70,90,70,60,60,70,37,1,['Dark'],"['Intimidate', 'Quick Feet', 'Moxie']",['ZU'],Standard,"{'dex_number': 262, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Zigzagoon,38,30,41,30,41,60,17.5,0.4,['Normal'],"['Pickup', 'Gluttony', 'Quick Feet']",['National Dex'],NatDex,"{'dex_number': 263, 'evos': ['Linoone'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Zigzagoon-Galar,38,30,41,30,41,60,17.5,0.4,"['Dark', 'Normal']","['Pickup', 'Gluttony', 'Quick Feet']",['National Dex'],NatDex,"{'dex_number': 263, 'evos': ['Linoone-Galar'], 'alts': [], 'genfamily': ['SS', 'SV']}"
Linoone,78,70,61,50,61,100,32.5,0.5,['Normal'],"['Pickup', 'Gluttony', 'Quick Feet']",['National Dex'],NatDex,"{'dex_number': 264, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Linoone-Galar,78,70,61,50,61,100,32.5,0.5,"['Dark', 'Normal']","['Pickup', 'Gluttony', 'Quick Feet']",['National Dex'],NatDex,"{'dex_number': 264, 'evos': ['Obstagoon'], 'alts': [], 'genfamily': ['SS', 'SV']}"
Wurmple,45,45,35,20,30,20,3.6,0.3,['Bug'],"['Shield Dust', 'Run Away']",['National Dex'],NatDex,"{'dex_number': 265, 'evos': ['Cascoon', 'Silcoon'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Silcoon,50,35,55,25,25,15,10,0.6,['Bug'],['Shed Skin'],['National Dex'],NatDex,"{'dex_number': 266, 'evos': ['Beautifly'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Beautifly,60,70,50,100,50,65,28.4,1,"['Bug', 'Flying']","['Swarm', 'Rivalry']",['National Dex'],NatDex,"{'dex_number': 267, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Cascoon,50,35,55,25,25,15,11.5,0.7,['Bug'],['Shed Skin'],['National Dex'],NatDex,"{'dex_number': 268, 'evos': ['Dustox'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Dustox,60,50,70,50,90,65,31.6,1.2,"['Bug', 'Poison']","['Shield Dust', 'Compound Eyes']",['National Dex'],NatDex,"{'dex_number': 269, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Sandshrew,50,75,85,20,30,40,12,0.6,['Ground'],"['Sand Veil', 'Sand Rush']",['LC'],Standard,"{'dex_number': 27, 'evos': ['Sandslash'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Sandshrew-Alola,50,75,90,10,35,40,40,0.7,"['Ice', 'Steel']","['Snow Cloak', 'Slush Rush']",['LC'],Standard,"{'dex_number': 27, 'evos': ['Sandslash-Alola'], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Lotad,40,30,30,40,50,30,2.6,0.5,"['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",['LC'],Standard,"{'dex_number': 270, 'evos': ['Lombre'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Lombre,60,50,50,60,70,50,32.5,1.2,"['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",['NFE'],Standard,"{'dex_number': 271, 'evos': ['Ludicolo'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Ludicolo,80,70,70,90,100,70,55,1.5,"['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",['ZU'],Standard,"{'dex_number': 272, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Seedot,40,40,50,30,30,30,4,0.5,['Grass'],"['Chlorophyll', 'Early Bird', 'Pickpocket']",['LC'],Standard,"{'dex_number': 273, 'evos': ['Nuzleaf'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Nuzleaf,70,70,40,60,40,60,28,1,"['Grass', 'Dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",['NFE'],Standard,"{'dex_number': 274, 'evos': ['Shiftry'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Shiftry,90,100,60,90,60,80,59.6,1.3,"['Grass', 'Dark']","['Chlorophyll', 'Wind Rider', 'Pickpocket']",['ZU'],Standard,"{'dex_number': 275, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Taillow,40,55,30,30,30,85,2.3,0.3,"['Normal', 'Flying']","['Guts', 'Scrappy']",['National Dex'],NatDex,"{'dex_number': 276, 'evos': ['Swellow'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Swellow,60,85,60,75,50,125,19.8,0.7,"['Normal', 'Flying']","['Guts', 'Scrappy']",['National Dex'],NatDex,"{'dex_number': 277, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Wingull,40,30,30,55,30,85,9.5,0.6,"['Water', 'Flying']","['Keen Eye', 'Hydration', 'Rain Dish']",['LC'],Standard,"{'dex_number': 278, 'evos': ['Pelipper'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Pelipper,60,50,100,95,70,65,28,1.2,"['Water', 'Flying']","['Keen Eye', 'Drizzle', 'Rain Dish']",['UU'],Standard,"{'dex_number': 279, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Sandslash,75,100,110,45,55,65,29.5,1,['Ground'],"['Sand Veil', 'Sand Rush']",['PU'],Standard,"{'dex_number': 28, 'evos': [], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Sandslash-Alola,75,100,120,25,65,65,55,1.2,"['Ice', 'Steel']","['Snow Cloak', 'Slush Rush']",['PU'],Standard,"{'dex_number': 28, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Ralts,28,25,25,45,35,40,6.6,0.4,"['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",['LC'],Standard,"{'dex_number': 280, 'evos': ['Kirlia'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Kirlia,38,35,35,65,55,50,20.2,0.8,"['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",['NFE'],Standard,"{'dex_number': 281, 'evos': ['Gallade', 'Gardevoir'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Gardevoir,68,65,65,125,115,80,48.4,1.6,"['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",['RU'],Standard,"{'dex_number': 282, 'evos': [], 'alts': ['Gardevoir-Mega'], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Surskit,40,30,32,50,52,65,1.7,0.5,"['Bug', 'Water']","['Swift Swim', 'Rain Dish']",['LC'],Standard,"{'dex_number': 283, 'evos': ['Masquerain'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Masquerain,70,60,62,100,82,80,3.6,0.8,"['Bug', 'Flying']","['Intimidate', 'Unnerve']",['ZU'],Standard,"{'dex_number': 284, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Shroomish,60,40,60,40,60,35,4.5,0.4,['Grass'],"['Effect Spore', 'Poison Heal', 'Quick Feet']",['LC'],Standard,"{'dex_number': 285, 'evos': ['Breloom'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Breloom,60,130,80,60,60,70,39.2,1.2,"['Grass', 'Fighting']","['Effect Spore', 'Poison Heal', 'Technician']",['RU'],Standard,"{'dex_number': 286, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Slakoth,60,60,60,35,35,30,24,0.8,['Normal'],['Truant'],['LC'],Standard,"{'dex_number': 287, 'evos': ['Vigoroth'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Vigoroth,80,80,80,55,55,90,46.5,1.4,['Normal'],['Vital Spirit'],['NFE'],Standard,"{'dex_number': 288, 'evos': ['Slaking'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Slaking,150,160,100,95,65,100,130.5,2,['Normal'],['Truant'],['ZU'],Standard,"{'dex_number': 289, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Nidoran-F,55,47,52,40,40,41,7,0.4,['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",['National Dex'],NatDex,"{'dex_number': 29, 'evos': ['Nidorina'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Nincada,31,45,90,30,30,40,5.5,0.5,"['Bug', 'Ground']","['Compound Eyes', 'Run Away']",['National Dex'],NatDex,"{'dex_number': 290, 'evos': ['Ninjask', 'Shedinja'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Ninjask,61,90,45,50,50,160,12,0.8,"['Bug', 'Flying']","['Speed Boost', 'Infiltrator']",['National Dex'],NatDex,"{'dex_number': 291, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Shedinja,1,90,45,30,30,40,1.2,0.8,"['Bug', 'Ghost']",['Wonder Guard'],['National Dex'],NatDex,"{'dex_number': 292, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Whismur,64,51,23,51,23,28,16.3,0.6,['Normal'],"['Soundproof', 'Rattled']",['National Dex'],NatDex,"{'dex_number': 293, 'evos': ['Loudred'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Loudred,84,71,43,71,43,48,40.5,1,['Normal'],"['Soundproof', 'Scrappy']",['National Dex'],NatDex,"{'dex_number': 294, 'evos': ['Exploud'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Exploud,104,91,63,91,73,68,84,1.5,['Normal'],"['Soundproof', 'Scrappy']",['National Dex'],NatDex,"{'dex_number': 295, 'evos': [], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Makuhita,72,60,30,20,30,25,86.4,1,['Fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",['LC'],Standard,"{'dex_number': 296, 'evos': ['Hariyama'], 'alts': [], 'genfamily': ['RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
